2020-10-30 08:55:20,646 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-10-30 08:55:20,666 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-10-30 08:55:20,667 INFO  Logger.cs: 73 - Commit version 
2020-10-30 08:55:20,668 INFO  Logger.cs: 74 - Build version 1.5.7585.28670
2020-10-30 08:55:20,674 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-10-30 08:55:20,675 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-10-30 08:55:20,677 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-10-30 08:56:18,447 INFO  SwAddin.cs: 271 - Assembly export called for file office_v4.SLDASM
2020-10-30 08:56:19,898 INFO  SwAddin.cs: 290 - Saving assembly
2020-10-30 08:56:20,227 INFO  SwAddin.cs: 293 - Opening property manager
2020-10-30 08:56:20,241 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from office_v4.SLDASM
2020-10-30 08:56:20,246 INFO  ExportHelperExtension.cs: 1142 - Found 25 in office_v4.SLDASM
2020-10-30 08:56:20,247 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in office_v4.SLDASM
2020-10-30 08:56:20,247 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-10-30 08:56:20,248 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-10-30 08:56:20,248 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from office_v4.STEP-1
2020-10-30 08:56:20,249 INFO  ExportHelperExtension.cs: 1142 - Found 26 in office_v4.STEP-1
2020-10-30 08:56:20,249 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in office_v4.STEP-1
2020-10-30 08:56:20,251 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from office_v4.SLDASM
2020-10-30 08:56:20,252 INFO  ExportHelperExtension.cs: 1142 - Found 25 in office_v4.SLDASM
2020-10-30 08:56:20,252 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in office_v4.SLDASM
2020-10-30 08:56:20,253 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-10-30 08:56:20,253 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-10-30 08:56:20,253 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from office_v4.STEP-1
2020-10-30 08:56:20,254 INFO  ExportHelperExtension.cs: 1142 - Found 26 in office_v4.STEP-1
2020-10-30 08:56:20,254 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in office_v4.STEP-1
2020-10-30 08:56:20,417 INFO  SwAddin.cs: 316 - Loading config tree
2020-10-30 08:56:20,421 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-10-30 08:56:20,425 INFO  SwAddin.cs: 321 - Showing property manager
2020-10-30 08:56:23,095 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-10-30 08:56:36,152 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2020-10-30 08:56:36,375 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from office_v4.SLDASM
2020-10-30 08:56:36,376 INFO  ExportHelperExtension.cs: 1142 - Found 26 in office_v4.SLDASM
